epoch,accuracy,loss,val_accuracy,val_loss
0,0.9188166856765747,0.27868449687957764,0.9623000025749207,0.12235268205404282
1,0.9649166464805603,0.12297007441520691,0.9722999930381775,0.0881902351975441
2,0.9750833511352539,0.08711298555135727,0.9739999771118164,0.09010723978281021
3,0.9798833131790161,0.06776389479637146,0.9760000109672546,0.08211401104927063
4,0.9826333522796631,0.0571322925388813,0.9787999987602234,0.07804405689239502
5,0.9858666658401489,0.04724933207035065,0.9807999730110168,0.07556501775979996
6,0.986549973487854,0.042365796864032745,0.978600025177002,0.0858096033334732
7,0.9888499975204468,0.03579988703131676,0.9771000146865845,0.0892697349190712
8,0.989216685295105,0.03408675640821457,0.9757999777793884,0.09149052947759628
9,0.9906833171844482,0.028838006779551506,0.9797000288963318,0.08974504470825195
10,0.9916666746139526,0.026580192148685455,0.9778000116348267,0.12129345536231995
11,0.9925000071525574,0.023161370307207108,0.9781000018119812,0.11334117501974106
12,0.9923166632652283,0.02478552795946598,0.9796000123023987,0.10358625650405884
13,0.993316650390625,0.022463403642177582,0.9811999797821045,0.09745532274246216
14,0.9937666654586792,0.02005375735461712,0.9828000068664551,0.08996078372001648
