epoch,accuracy,loss,val_accuracy,val_loss
0,0.8843500018119812,0.40153464674949646,0.9498999714851379,0.1660267412662506
1,0.9440333247184753,0.19949859380722046,0.9632999897003174,0.12000765651464462
2,0.958466649055481,0.14607174694538116,0.9692999720573425,0.09770741313695908
3,0.9666333198547363,0.11735573410987854,0.9739000201225281,0.08345513045787811
4,0.9724000096321106,0.09760373085737228,0.9750999808311462,0.07610923796892166
5,0.9766333103179932,0.08195315301418304,0.9775000214576721,0.06985826790332794
6,0.9786999821662903,0.07208584249019623,0.9782000184059143,0.06632428616285324
7,0.9824333190917969,0.06231895461678505,0.98089998960495,0.0641305148601532
8,0.9836166501045227,0.05664292722940445,0.9800999760627747,0.05929386615753174
9,0.9850166440010071,0.05045876279473305,0.9811999797821045,0.05987698212265968
10,0.9871000051498413,0.043858908116817474,0.9803000092506409,0.062361400574445724
11,0.9886666536331177,0.039077967405319214,0.9803000092506409,0.05998615175485611
12,0.9893333315849304,0.036465827375650406,0.9832000136375427,0.05519047752022743
13,0.9909499883651733,0.03301096707582474,0.9819999933242798,0.053004298359155655
14,0.9916166663169861,0.028322584927082062,0.9830999970436096,0.05453728139400482
