epoch,accuracy,loss,val_accuracy,val_loss
0,0.9176166653633118,0.2818293869495392,0.9634000062942505,0.11769426614046097
1,0.9645833373069763,0.12337464094161987,0.9715999960899353,0.0921446904540062
2,0.974566638469696,0.08718612790107727,0.9753000140190125,0.0804084986448288
3,0.9792500138282776,0.0692058578133583,0.9786999821662903,0.07290612906217575
4,0.983299970626831,0.05635775253176689,0.9785000085830688,0.07715972512960434
5,0.9853333234786987,0.04799938574433327,0.9765999913215637,0.0817578136920929
6,0.9877333045005798,0.03944935277104378,0.9799000024795532,0.09166134148836136
7,0.988016664981842,0.03895685449242592,0.9832000136375427,0.07958178967237473
8,0.9897666573524475,0.03274952620267868,0.9800000190734863,0.08201715350151062
9,0.9916333556175232,0.027231784537434578,0.9810000061988831,0.08519412577152252
10,0.9910333156585693,0.02957523986697197,0.9824000000953674,0.08765053749084473
11,0.9922500252723694,0.02428234927356243,0.9801999926567078,0.09941514581441879
12,0.9924666881561279,0.024124737828969955,0.9789999723434448,0.10689995437860489
13,0.9933833479881287,0.0219030249863863,0.9817000031471252,0.10094108432531357
14,0.9937999844551086,0.02008957602083683,0.9812999963760376,0.10275161266326904
