epoch,accuracy,loss,val_accuracy,val_loss
0,0.8662999868392944,0.4504128694534302,0.9383000135421753,0.2178383320569992
1,0.9454333186149597,0.19114215672016144,0.9643999934196472,0.1170756071805954
2,0.9629666805267334,0.12760354578495026,0.9733999967575073,0.0878223404288292
3,0.9689333438873291,0.10417639464139938,0.9765999913215637,0.07499250024557114
4,0.9725000262260437,0.092958003282547,0.9801999926567078,0.0677444189786911
5,0.975766658782959,0.08167742192745209,0.9805999994277954,0.06244898587465286
6,0.9777833223342896,0.07409843057394028,0.9807000160217285,0.05919367074966431
7,0.9793833494186401,0.06855157762765884,0.9825000166893005,0.055233221501111984
8,0.980566680431366,0.06508412957191467,0.9825000166893005,0.05151640623807907
9,0.981333315372467,0.06157867610454559,0.984499990940094,0.04773101955652237
