epoch,accuracy,loss,val_accuracy,val_loss
0,0.7994999885559082,0.62472003698349,0.9380999803543091,0.20016047358512878
1,0.9404000043869019,0.19276642799377441,0.9621000289916992,0.12639901041984558
2,0.95660001039505,0.1405181735754013,0.9714999794960022,0.09709369391202927
3,0.9635000228881836,0.1152799054980278,0.9760000109672546,0.07674583792686462
4,0.9690499901771545,0.10069528967142105,0.9783999919891357,0.07184737175703049
5,0.9720333218574524,0.08836669474840164,0.9783999919891357,0.06609668582677841
6,0.9756166934967041,0.07849106937646866,0.9821000099182129,0.056702204048633575
7,0.9767500162124634,0.0731513500213623,0.9829999804496765,0.05406204238533974
8,0.9789833426475525,0.0683494433760643,0.984000027179718,0.05192207172513008
9,0.9800833463668823,0.0627589076757431,0.9836999773979187,0.04657989367842674
