epoch,accuracy,loss,val_accuracy,val_loss
0,0.9194166660308838,0.2810937166213989,0.963100016117096,0.13544650375843048
1,0.9616000056266785,0.1548464000225067,0.965499997138977,0.143940731883049
2,0.9682166576385498,0.14419203996658325,0.9714999794960022,0.1415170282125473
3,0.9700666666030884,0.1467132419347763,0.9726999998092651,0.15716196596622467
4,0.9709333181381226,0.1508512645959854,0.9739000201225281,0.15681087970733643
5,0.9713000059127808,0.1556716114282608,0.9742000102996826,0.16020265221595764
6,0.9720166921615601,0.15434639155864716,0.9743000268936157,0.19372093677520752
7,0.9720500111579895,0.16438843309879303,0.9733999967575073,0.19109542667865753
8,0.9713666439056396,0.16685421764850616,0.9742000102996826,0.1965322196483612
9,0.9720666408538818,0.17507268488407135,0.9767000079154968,0.22428256273269653
10,0.9723333120346069,0.17326757311820984,0.9732999801635742,0.198298841714859
11,0.9732333421707153,0.1725904792547226,0.973800003528595,0.2529929578304291
12,0.9731166958808899,0.173316091299057,0.97079998254776,0.27481696009635925
13,0.9711333513259888,0.18622267246246338,0.9704999923706055,0.26752254366874695
14,0.9729666709899902,0.19337564706802368,0.9735999703407288,0.29603883624076843
